,is_free_shipping,product_name,start_price,end_price,is_prompt,start_time,end_time,timedelta,days_diff
0,0,新品未使用 Apple純正 AirPods MV7N2J/A 充電ケースのみ 第2世代,7700,7700,0,2019-06-20 10:06:14,2019-06-25 12:06:14,5 days 02:00:00.000000000,5
1,1,★新品未開封 送料無料 即決★ APPLE 正規品 AirPods (第2世代) with Charging Case ワイヤレスイヤホン MV7N2J/A新型,100,20000,1,2019-06-22 14:52:59,2019-06-25 11:52:59,2 days 21:00:00.000000000,2
2,1,1円～新品 Apple(アップル)AirPods with Wireless Charging Case 第2世代 MRXJ2J/A ,1,22000,0,2019-06-24 14:24:41,2019-06-25 11:23:29,0 days 20:58:48.000000000,0
3,1,★☆新品未開封 ６月２３日購入 送料無料 Apple airpods MV7N2J/A 第２世代 保証書貼付用付き 匿名配送 ３台まで☆★,18480,18480,1,2019-06-24 03:02:20,2019-06-25 11:18:18,1 days 08:15:58.000000000,1
4,1,1円～新品 Apple(アップル)AirPods with Wireless Charging Case 第2世代 MRXJ2J/A,1,1,0,2019-06-24 14:22:04,2019-06-25 11:17:23,0 days 20:55:19.000000000,0
5,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7600,7600,1,2019-06-23 18:09:27,2019-06-25 10:49:25,1 days 16:39:58.000000000,1
6,0,【新品】Apple AirPods 第2世代 AirPods with Charging Case MV7N2J/A 完全ワイヤレスイヤホン Bluetooth マイク付き アップル ①,1,17980,1,2019-06-19 13:23:56,2019-06-25 09:23:56,5 days 20:00:00.000000000,5
7,1,■■■■残１個■送料無料■最新モデル第2世代■Apple AirPods■MV7N2J/A■正規純正品■新品未開封■■■■■■■,18399,18399,1,2019-06-24 18:12:00,2019-06-25 02:43:56,0 days 08:31:56.000000000,0
8,0,Apple AirPods 第2世代 MV7N2J/A 新品未開封　C,10000,19000,1,2019-06-22 00:07:41,2019-06-25 00:07:05,2 days 23:59:24.000000000,2
9,0,【新品】apple AirPods 第2世代 with Wireless Charging Case 2019年 新型 MRXJ2J/A ,1000,21000,1,2019-06-24 13:59:04,2019-06-24 17:45:28,0 days 03:46:24.000000000,0
10,0,新品・未開封　AirPods 第２世代　2019年モデル　型番　MV7N2JA　管理①,18000,18000,1,2019-06-24 04:36:36,2019-06-24 14:32:16,0 days 09:55:40.000000000,0
11,1,【送料無料】【新品未使用】第２世代Apple純正 airpods左のみL 国内正規品 左耳,7700,7700,1,2019-06-22 22:52:43,2019-06-24 13:36:23,1 days 14:43:40.000000000,1
12,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケースのみ 新品未使用品,7300,7300,1,2019-06-23 12:42:06,2019-06-24 12:14:43,0 days 23:32:37.000000000,0
13,0,Apple純正 AirPods 第2世代 左 イヤホン MV7N2J/A 左耳のみ 新品未使用品,7400,7400,1,2019-06-23 12:41:16,2019-06-24 00:05:25,0 days 11:24:09.000000000,0
14,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7600,7600,1,2019-06-23 12:40:14,2019-06-23 17:00:16,0 days 04:20:02.000000000,0
15,1,★☆新品未開封 ６月２３日購入 送料無料 Apple airpods MV7N2J/A 第２世代 保証書貼付用付き 匿名配送 ３台まで☆★,17980,18980,1,2019-06-23 04:45:03,2019-06-23 16:42:36,0 days 11:57:33.000000000,0
16,1,【送料無料】新品 未開封 第2世代 Apple AirPods　with Charging Case MV7N2J/A,18500,18500,1,2019-06-23 14:24:08,2019-06-23 15:10:17,0 days 00:46:09.000000000,0
17,1,【新品未開封・正規品】Apple アップル AirPods with Wireless Charging Case 第2世代 MRXJ2J/A ワイヤレス充電対応,22750,22750,1,2019-06-23 14:19:31,2019-06-23 14:38:16,0 days 00:18:45.000000000,0
18,1,第2世代モデル AirPods with Wireless Charging Case MRXJ2J/A 新品未開封,1,24800,1,2019-06-20 09:28:32,2019-06-23 14:28:32,3 days 05:00:00.000000000,3
19,0,Apple純正 AirPods 第2世代 右 イヤホン MV7N2J/A 右耳のみ 新品未使用品,5400,7980,1,2019-06-16 02:11:27,2019-06-23 14:11:27,7 days 12:00:00.000000000,7
20,1,【送料無料 新品 未使用 未開封】 AirPods 第2世代 with Charging Case MV7N2J/A,18200,18200,0,2019-06-22 07:16:37,2019-06-23 13:09:36,1 days 05:52:59.000000000,1
21,1,新品未開封 Apple AirPods (エアーポッズ/第2世代) with Charging Case 2019年 国内正規品 MV7N2J/A 納品書コピー有 送料無料,18000,18900,1,2019-06-20 01:38:08,2019-06-23 12:43:08,3 days 11:05:00.000000000,3
22,0,■■■■■最新モデル第2世代■Apple AirPods■MV7N2J/A■正規純正品■新品未開封■■■■■■,1,19499,1,2019-06-16 04:34:37,2019-06-23 12:34:37,7 days 08:00:00.000000000,7
23,1,Apple AirPods (第2世代) MV7N2J/A 新品未開封品,18000,18900,1,2019-06-20 16:01:27,2019-06-23 11:59:14,2 days 19:57:47.000000000,2
24,0,Apple AirPods 第2世代 MV7N2J/A 新品未開封　A,10000,19000,1,2019-06-22 00:05:19,2019-06-23 11:57:21,1 days 11:52:02.000000000,1
25,1,新品 未開封 第2世代 第二世代 Apple AirPods　with Charging Case MV7N2J/A,18300,18300,1,2019-06-21 02:26:48,2019-06-23 10:24:59,2 days 07:58:11.000000000,2
26,0,Apple AirPods 第2世代 MV7N2J/A 新品未開封　B,10000,19000,1,2019-06-22 00:07:03,2019-06-23 10:05:34,1 days 09:58:31.000000000,1
27,0,Apple純正 AirPods 第2世代 右 イヤホン MV7N2J/A 右耳のみ 新品未使用品,7400,7400,1,2019-06-22 20:11:20,2019-06-23 06:23:37,0 days 10:12:17.000000000,0
28,1,送料無料　即決　新品　新製品 Apple アップル　第2世代　AirPods （エアポッド） with Charging Case　MV7N2J/A　ワイヤレスイヤホン,18900,18900,1,2019-06-22 22:04:27,2019-06-23 05:16:30,0 days 07:12:03.000000000,0
29,0,Apple純正 AirPods 第2世代 右 イヤホン MV7N2J/A 右耳のみ 新品未使用品,7400,7400,1,2019-06-21 13:03:16,2019-06-22 19:40:23,1 days 06:37:07.000000000,1
30,1,【送料無料】新品未開封 Apple AirPods 第2世代 MV7N2J/A 2019年モデル　その2,18000,18000,1,2019-06-21 14:19:34,2019-06-22 15:07:12,1 days 00:47:38.000000000,1
31,1,【送料無料/匿名配送】新品 Apple AirPods with Charging Case 第2世代 MV7N2J/A,17980,17980,1,2019-06-22 13:19:39,2019-06-22 14:52:36,0 days 01:32:57.000000000,0
32,1,即決 新品未開封 送料込 Apple AirPods2 MV7N2J/A アップル エアーポッズ 第2世代 ワイヤレスイヤホン,18980,18980,1,2019-06-16 17:54:29,2019-06-22 13:23:43,5 days 19:29:14.000000000,5
33,0,送料無料あります！新品未開封 AirPods 第2世代 Apple MRXJ2J/A AirPods with Wireless Charging Case,22000,25000,1,2019-06-19 13:23:29,2019-06-22 12:23:29,2 days 23:00:00.000000000,2
34,0,第2世代　新品未開封　Apple AirPods　with Charging Case　MV7N2J/A②,10000,19000,1,2019-06-19 05:19:00,2019-06-22 12:19:00,3 days 07:00:00.000000000,3
35,0,送料無料あり！第2世代　新品未開封　Apple AirPods　with Charging Case　MV7N2J/A,17000,20000,1,2019-06-19 13:18:29,2019-06-22 12:18:28,2 days 22:59:59.000000000,2
36,0,第2世代　新品未開封　Apple AirPods　with Charging Case　MV7N2J/A,10000,19000,1,2019-06-19 05:19:41,2019-06-22 01:47:24,2 days 20:27:43.000000000,2
37,1,新品未開封 Apple Airpods 第2世代 with Charging Case 保証付き MV7NJ2J/A,1,19480,1,2019-06-18 22:52:17,2019-06-21 14:52:17,2 days 16:00:00.000000000,2
38,0,【新品未開封品】AirPods with Charging Case MV7N2J/A ワイヤレスイヤホン 第2世代 2019年発売,15000,19500,1,2019-06-17 14:35:35,2019-06-21 14:45:35,4 days 00:10:00.000000000,4
39,0,第2世代　新品未開封　Apple AirPods　with Charging Case　MV7N2J/A,10000,19000,1,2019-06-19 05:18:10,2019-06-21 12:46:13,2 days 07:28:03.000000000,2
40,1,【送料無料】新品未開封 Apple AirPods 第2世代 MV7N2J/A 2019年モデル,18000,18000,1,2019-06-20 16:05:32,2019-06-21 12:30:21,0 days 20:24:49.000000000,0
41,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7800,7800,1,2019-06-19 12:16:05,2019-06-21 11:15:18,1 days 22:59:13.000000000,1
42,0,新品未使用 Apple純正 AirPods2 （第2世代） MV7N2J/A　充電ケース＋付属品のみ イヤホン無し　ヤフネコ!パック 発送,7000,7000,1,2019-06-20 14:20:37,2019-06-21 03:07:16,0 days 12:46:39.000000000,0
43,1,【新品未開封】送料込 Apple AirPods2 MV7N2J/A アップル エアーポッズ 第2世代 ワイヤレスイヤホン,17980,17980,1,2019-06-20 23:19:46,2019-06-21 02:57:23,0 days 03:37:37.000000000,0
44,1,新品 未開封 第2世代 第二世代 Apple AirPods　with Charging Case MV7N2J/A,18300,18300,1,2019-06-20 04:51:35,2019-06-20 23:39:30,0 days 18:47:55.000000000,0
45,1,【送料無料/匿名配送】新品 Apple AirPods with Charging Case 第2世代 MV7N2J/A,17000,18000,0,2019-06-19 07:06:28,2019-06-20 14:06:28,1 days 07:00:00.000000000,1
46,0,新品未使用 Apple純正 AirPods2 （第2世代） MV7N2J/A　充電ケース＋付属品のみ イヤホン無し　ヤフネコ!パック 発送,7000,7000,1,2019-06-19 13:24:03,2019-06-20 13:24:03,1 days 00:00:00.000000000,1
