,is_free_shipping,product_name,start_price,end_price,is_prompt,start_time,end_time,timedelta,days_diff
0,1,【新品】未開封 即決 Apple AirPods 第2世代 AirPods MRXJ2J/A 完全ワイヤレスイヤホン Bluetooth マイク付き 新型 送料無料,1,26500,1,2019-06-09 03:44:57,2019-06-14 12:44:57,5 days 09:00:00.000000000,5
1,0,[新品・未開封] AirPods 第2世代 2019年型 with Charging Case MV7N2J/A,1,1,0,2019-06-07 03:48:21,2019-06-14 12:44:25,7 days 08:56:04.000000000,7
2,1,アップル APPLE AirPods (エアーポッズ/第2世代) with Charging Case MV7N2J/A 新品未開封 ヤフネコ!宅急便コンパクト送料無料,18980,18980,0,2019-06-13 06:41:58,2019-06-14 12:41:14,1 days 05:59:16.000000000,1
3,0,Apple純正 AirPods 第2世代 左 イヤホン MV7N2J/A 左耳のみ 新品未使用品,7500,7500,1,2019-06-13 12:41:08,2019-06-14 09:19:20,0 days 20:38:12.000000000,0
4,1,Apple AirPods2 MV7N2J/A エアーポッズ 第2世代 ワイヤレスイヤホン 新品未開封 ①,18500,18500,1,2019-06-13 22:33:01,2019-06-14 08:21:18,0 days 09:48:17.000000000,0
5,0,新品 未開封 Apple AirPods with Charging Case MV7N2J/A 第2世代 ワイヤレスイヤホン,17900,17900,0,2019-06-11 07:17:14,2019-06-13 13:57:41,2 days 06:40:27.000000000,2
6,1,【新品未開封】第2世代 Apple AirPods　with Charging Case MV7N2J/A,1,21000,1,2019-06-11 23:59:06,2019-06-13 13:04:06,1 days 13:05:00.000000000,1
7,1,『送料無料』新品未使用 Apple純正 AirPods 第2世代 左 イヤホン MV7N2J/A 左耳のみ 　ゆうパケットで発送,7480,7480,1,2019-06-12 12:58:42,2019-06-13 11:09:48,0 days 22:11:06.000000000,0
8,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7800,7800,1,2019-06-13 05:20:53,2019-06-13 10:26:32,0 days 05:05:39.000000000,0
9,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7800,7800,1,2019-06-12 22:56:08,2019-06-13 05:19:07,0 days 06:22:59.000000000,0
10,1,即決 新品未開封 送料込 Apple AirPods2 MV7N2J/A アップル エアーポッズ 第2世代 ワイヤレスイヤホン エアポッズ,18980,18980,1,2019-06-10 12:50:39,2019-06-13 04:49:10,2 days 15:58:31.000000000,2
11,0,新品未開封 AirPods MV7N2J/A 第2世代,18180,18180,1,2019-06-12 12:28:28,2019-06-13 03:49:56,0 days 15:21:28.000000000,0
12,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7800,7800,1,2019-06-11 13:29:08,2019-06-12 16:46:47,1 days 03:17:39.000000000,1
