,is_free_shipping,product_name,start_price,end_price,is_prompt,start_time,end_time,timedelta,days_diff
0,1,【新品・送料無料】即決 Apple AirPods 第2世代 AirPods MV7N2J/A 完全ワイヤレスイヤホン Bluetooth マイク付き,20500,20500,1,2019-05-21 14:42:59,2019-05-23 05:26:42,1 days 14:43:43.000000000,1
1,1,Apple AirPods with Wireless Charging Case (第2世代・最新モデル) MRXJ2J/A 新品未開封,24800,24800,1,2019-05-22 01:11:19,2019-05-23 01:07:56,0 days 23:56:37.000000000,0
2,1,♪送料無料♪レシート付き 保証あり 新品未開封 AirPods 第2世代 Apple MRXJ2J/A AirPods with Wireless Charging Case,25800,25800,1,2019-05-22 12:22:51,2019-05-22 14:44:51,0 days 02:22:00.000000000,0
3,0,■■■■■最新モデル第2世代■Apple AirPods■MV7N2J/A■正規純正品■新品未開封■■■■■■,19997,19997,1,2019-05-22 13:07:17,2019-05-22 14:06:05,0 days 00:58:48.000000000,0
4,1,Apple AirPods 新品未開封 MV7N2J/A 第２世代,20000,20000,1,2019-05-21 13:38:12,2019-05-22 12:35:44,0 days 22:57:32.000000000,0
5,1,【送料無料】【新品未使用品】第２世代Apple純正 airpods右のみR 国内正規品 右耳,7600,7600,1,2019-05-19 14:30:32,2019-05-22 09:11:22,2 days 18:40:50.000000000,2
6,1,★新品未開封 送料無料★ APPLE 正規品 AirPods (第2世代) with Charging Case ワイヤレスイヤホン MV7N2J/A新型,20000,20000,1,2019-05-20 22:01:30,2019-05-22 07:27:14,1 days 09:25:44.000000000,1
7,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,8500,8500,1,2019-05-21 03:46:17,2019-05-22 07:11:07,1 days 03:24:50.000000000,1
8,1,【送料無料】【新品未使用品】第２世代Apple純正 airpods右のみR 国内正規品 右耳,7600,7600,1,2019-05-20 10:14:32,2019-05-22 02:09:37,1 days 15:55:05.000000000,1
9,0,Apple(アップル) AirPods with Charging Case MV7N2J/A 第2世代 Bluetooth ワイヤレスイヤホン 本体 未開封新品 ,19700,19700,1,2019-05-21 14:37:48,2019-05-22 01:50:05,0 days 11:12:17.000000000,0
10,1,【送料無料】【新品未使用】第２世代Apple純正 airpods左のみL 国内正規品 左耳,7600,7600,1,2019-05-20 10:16:00,2019-05-21 23:45:06,1 days 13:29:06.000000000,1
